name,total_direct_kernel_time_sum,Count,Categories,total_direct_kernel_time_ms,Percentage (%),Cumulative Percentage (%)
_attn_fwd_2,276530727.6660156,4320,{'other'},276530.7276660156,49.40778163406682,49.40778163406682
aten::copy_,191607141.14648438,5670,"{'elementwise', 'other'}",191607.14114648438,34.234473214590096,83.64225484865692
aten::mm,29293702.684570312,8934,{'GEMM'},29293.70268457031,5.233909727531513,88.87616457618843
aten::addmm,24165310.928710938,13068,{'GEMM'},24165.310928710936,4.317619295194912,93.19378387138335
aten::cudnn_convolution,6777114.306640625,911,{'CONV_fwd'},6777.114306640625,1.2108679082348532,94.4046517796182
triton_red_fused__to_copy_add_addmm_empty_like_expand_native_layer_norm_view_11,2460644.9453125,2463,{'triton'},2460.6449453125,0.43964375736140415,94.84429553697962
triton_red_fused__to_copy_native_layer_norm_1,2128213.4521484375,2528,{'triton'},2128.2134521484377,0.38024817857287263,95.22454371555249
triton_poi_fused_all_to_all_single_clone_permute_view_0,1934991.0322265625,6480,{'triton'},1934.9910322265625,0.3457251032861503,95.57026881883864
sgl_kernel::rmsnorm,1717846.224609375,8640,{'other'},1717.846224609375,0.3069278118304277,95.87719663066908
triton_poi_fused_addmm_gelu_view_12,1491678.748046875,2303,{'triton'},1491.678748046875,0.26651843892260385,96.14371506959168
triton_red_fused__to_copy_add_mul_native_layer_norm_split_1,1409881.728515625,2830,{'triton'},1409.881728515625,0.2519037546398554,96.39561882423153
quant_per_block_int8_kernel_0,1374614.982421875,4320,{'other'},1374.614982421875,0.24560264045753372,96.64122146468907
triton_poi_fused__to_copy_add_addmm_mul_view_13,1279819.8203125,2160,{'triton'},1279.8198203125,0.22866557632366036,96.86988704101273
aten::fill_,1205330.3505859375,21527,{'elementwise'},1205.3303505859376,0.21535653292963858,97.08524357394236
Torch-Compiled Region: 9/0,1098960.009765625,2160,{'other'},1098.960009765625,0.19635133008672448,97.28159490402909
triton_poi_fused_add_mul_0,1035377.666015625,2160,{'triton'},1035.377666015625,0.18499106433146154,97.46658596836055
triton_poi_fused_copy__0,1033326.9404296875,2160,{'triton'},1033.3269404296875,0.18462466092017854,97.65121062928073
triton_poi_fused__unsafe_view_clone_mean_permute_sub_view_4,907144.01171875,2160,{'triton'},907.14401171875,0.1620795403821574,97.81329016966288
quant_per_block_int8_kernel_1,851426.017578125,4320,{'other'},851.426017578125,0.15212439901026228,97.96541456867314
aten::mul,830492.22265625,2326,{'elementwise'},830.49222265625,0.14838415510680167,98.11379872377994
triton_poi_fused__to_copy_0,762211.537109375,2160,{'triton'},762.211537109375,0.13618443600217148,98.2499831597821
aten::cat,721677.3466796875,1314,"{'elementwise', 'other'}",721.6773466796875,0.12894218684466563,98.37892534662677
aten::add,657973.236328125,1476,{'elementwise'},657.973236328125,0.11756016503461961,98.49648551166139
triton_poi_fused_all_to_all_single_clone_permute_view_9,643802.83203125,2690,{'triton'},643.80283203125,0.11502833702738259,98.61151384868877
fuse_scale_shift_kernel_blc_opt_3,622209.3828125,2160,{'other'},622.2093828125,0.11117023260357746,98.72268408129236
aten::div,534584.19921875,1280,{'elementwise'},534.58419921875,0.0955142294780446,98.8181983107704
triton_poi_fused__unsafe_view_clone_permute_view_4,528191.783203125,2160,{'triton'},528.191783203125,0.0943720956642734,98.91257040643467
triton_poi_fused_all_to_all_single_clone_empty_like_permute_view_1,528150.3271484375,2160,{'triton'},528.1503271484376,0.09436468870550721,99.00693509514018
triton_poi_fused__unsafe_view_clone_permute_view_1,524271.3916015625,2160,{'triton'},524.2713916015625,0.09367163877904809,99.10060673391922
triton_poi_fused__to_copy__unsafe_view_clone_permute_view_5,519603.7841796875,2160,{'triton'},519.6037841796875,0.0928376767445212,99.19344441066374
triton_poi_fused__unsafe_view_clone_permute_view_10,515642.154296875,2160,{'triton'},515.642154296875,0.09212985181013851,99.28557426247389
triton_poi_fused__unsafe_view_clone_permute_view_8,514683.40234375,2160,{'triton'},514.68340234375,0.09195855147204933,99.37753281394593
triton_poi_fused_all_to_all_single_clone_permute_view_6,490747.240234375,2160,{'triton'},490.747240234375,0.08768187422666933,99.46521468817261
aten::add_,481222.2666015625,1008,{'elementwise'},481.2222666015625,0.08598004592971194,99.55119473410232
triton_red_fused__to_copy_add_mul_native_layer_norm_0,435812.80859375,725,{'triton'},435.81280859375,0.07786673207013592,99.62906146617246
aten::silu,387434.9609375,696,{'elementwise'},387.4349609375,0.06922305564003227,99.6982845218125
triton_red_fused__unsafe_view_clone_mean_permute_view_2,296964.375,2160,{'triton'},296.964375,0.05305866410194348,99.75134318591444
aten::_efficient_attention_forward,273375.638671875,24,{'other'},273.375638671875,0.04884406146678464,99.80018724738122
triton_red_fused__unsafe_view_clone_mean_permute_view_3,255280.6611328125,2160,{'triton'},255.2806611328125,0.04561102944003959,99.84579827682126
aten::linalg_vector_norm,198876.482421875,720,{'reduce'},198.876482421875,0.035533287380340936,99.8813315642016
triton_poi_fused_addmm_all_to_all_single_clone_permute_view_3,123268.630859375,2160,{'triton'},123.268630859375,0.022024422555985183,99.90335598675759
aten::_upsample_nearest_exact2d,112367.7890625,72,{'other'},112.3677890625,0.020076767712441015,99.92343275447003
triton_poi_fused_all_to_all_single_clone_empty_like_permute_view_2,82969.74609375,2160,{'triton'},82.96974609375,0.014824215492554683,99.93825696996258
triton_poi_fused__unsafe_view_clone_mean_permute_sub_view_7,81221.5185546875,2160,{'triton'},81.2215185546875,0.014511859447258394,99.95276882940983
cuLaunchKernelEx,46748.5126953125,4339,{'other'},46.7485126953125,0.008352562937443343,99.96112139234728
triton_red_fused__unsafe_view_clone_mean_permute_view_5,42188.4111328125,2902,{'triton'},42.1884111328125,0.007537808989009511,99.9686592013363
triton_per_fused__unsafe_view_clone_mean_permute_view_6,32507.4306640625,3220,{'triton'},32.5074306640625,0.0058081069300710214,99.97446730826637
triton_poi_fused_cat_2,26922.7744140625,2160,{'triton'},26.9227744140625,0.004810295660306527,99.97927760392668
triton_tem_fused_convolution_0,11108.8896484375,54,{'triton'},11.1088896484375,0.001984826780660146,99.98126243070733
aten::bmm,10159.7763671875,96,{'GEMM'},10.1597763671875,0.0018152485853478728,99.98307767929268
aten::_local_scalar_dense,9510.59765625,4331,{'other'},9.51059765625,0.001699259739326307,99.984776939032
triton_poi_fused__to_copy__unsafe_view_clone_permute_view_8,9282.0263671875,2160,{'triton'},9.2820263671875,0.0016584208769216317,99.98643535990892
triton_tem_fused_addmm_silu_t_3,9144.2294921875,54,{'triton'},9.1442294921875,0.001633800691066266,99.98806916059999
triton_poi_fused_abs_eq_max_0,8906.935546875,4850,{'triton'},8.906935546875,0.001591403350517384,99.98966056395051
aten::gather,8405.3623046875,50,{'other'},8.4053623046875,0.0015017871930919377,99.9911623511436
triton_poi_fused__to_copy_add_0,5231.20703125,2160,{'triton'},5.23120703125,0.0009346604511696688,99.99209701159477
triton_poi_fused_zeros_7,4412.265625,2690,{'triton'},4.412265625,0.0007883400819557118,99.99288535167672
triton_per_fused__to_copy_addmm_arange_cat_cos_div_exp_mul_silu_sin_t_unsqueeze_1,4325.765625,902,{'triton'},4.325765625,0.0007728851155314794,99.99365823679226
triton_poi_fused__to_copy_arange_copy_cos_div_mul_pow_reciprocal_repeat_slice_unsqueeze_view_0,3983.224609375,54,{'triton'},3.983224609375,0.0007116832670296669,99.99436992005928
triton_poi_fused_arange_0,3800.716796875,2160,{'triton'},3.800716796875,0.0006790745720661113,99.99504899463135
aten::_softmax,3790.3427734375,48,{'other'},3.7903427734375,0.0006772210439284146,99.99572621567528
triton_poi_fused__to_copy_arange_copy_div_mul_pow_reciprocal_repeat_sin_slice_unsqueeze_view_1,3773.4658203125,54,{'triton'},3.7734658203125,0.000674205636484597,99.99640042131176
aten::masked_fill_,3584.3525390625,48,{'elementwise'},3.5843525390625,0.0006404167415470809,99.99704083805331
aten::clamp_min,3415.7587890625,720,{'elementwise'},3.4157587890625,0.0006102940739680589,99.99765113212727
aten::sub,2988.53125,930,{'elementwise'},2.98853125,0.0005339612731389456,99.99818509340041
triton_tem_fused_addmm_silu_t_2,2362.8232421875,54,{'triton'},2.3628232421875,0.00042216594074454764,99.99860725934116
aten::clamp,2238.84765625,2,{'elementwise'},2.23884765625,0.0004000152064313848,99.9990072745476
triton_poi_fused__to_copy_addmm_arange_cat_cos_div_exp_mul_sin_unsqueeze_0,1126.865234375,584,{'triton'},1.126865234375,0.0002013371602531817,99.99920861170784
aten::pow,1060.3857421875,48,{'elementwise'},1.0603857421875,0.0001894592606039583,99.99939807096845
aten::tanh,698.947265625,48,{'elementwise'},0.698947265625,0.00012488100026061626,99.99952295196871
aten::log,686.03515625,360,{'elementwise'},0.68603515625,0.00012257399197325626,99.99964552596069
triton_poi_fused__to_copy_4,358.5283203125,54,{'triton'},0.3585283203125,6.405830234180425e-05,99.99970958426303
triton_poi_fused_addmm_gelu_view_5,307.0048828125,54,{'triton'},0.3070048828125,5.485260295887329e-05,99.99976443686599
aten::expm1,214.400390625,106,{'elementwise'},0.214400390625,3.830694610926764e-05,99.9998027438121
aten::arange,150.248046875,96,{'other'},0.150248046875,2.6844838378723655e-05,99.99982958865047
aten::where,134.787109375,48,{'elementwise'},0.134787109375,2.4082430633640957e-05,99.9998536710811
aten::minimum,129.515625,48,{'elementwise'},0.129515625,2.314057382414397e-05,99.99987681165493
aten::eq,122.373046875,50,{'elementwise'},0.122373046875,2.1864408447215292e-05,99.99989867606338
aten::abs,116.4814453125,48,{'elementwise'},0.1164814453125,2.0811755217927527e-05,99.9999194878186
aten::gt,115.26171875,50,{'elementwise'},0.11526171875,2.0593826511913866e-05,99.99994008164511
aten::lt,106.0458984375,48,{'elementwise'},0.1060458984375,1.894723467952722e-05,99.99995902887979
aten::neg,90.1123046875,53,{'elementwise'},0.0901123046875,1.6100377379832345e-05,99.99997512925717
aten::any,41.6962890625,7,"{'reduce', 'other'}",0.0416962890625,7.449881473711207e-06,99.99998257913865
aten::ne,30.84765625,9,{'elementwise'},0.03084765625,5.511554816300667e-06,99.99998809069346
aten::sum,28.8642578125,4,"{'reduce', 'other'}",0.0288642578125,5.1571807555210465e-06,99.99999324787422
aten::normal_,19.935546875,1,{'elementwise'},0.019935546875,3.5618867930847736e-06,99.99999680976102
cudaMemcpyAsync,17.85546875,20,{'other'},0.01785546875,3.1902389597708435e-06,99.99999999999997
